id,mode,status,correctness,post_repair_correctness,lexical_reference_recall,post_repair_lexical_reference_recall,raw_citation_precision,raw_citation_faithfulness,raw_citation_recall,citation_precision,citation_faithfulness,citation_recall,evidence_citation_coverage,recall_at_k,answerable,raw_abstained,abstained,abstention_correct,post_repair_abstention_correct,citation_repair_triggered,tool_accuracy,agent_steps,tool_calls,tokens,latency_ms,reranker_latency_ms,retrieval_rounds,rewrite_attempts,rewrite_successes,rewrite_quality_gain,retrieval_context_tokens,estimated_cost_usd
q01,naive,completed,1.0,1.0,0.925,0.925,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,726,1760.9529860001203,0.005821000740979798,1,0,0,0,242,0.0
q02,naive,completed,0.0,1.0,0.0196078431372549,0.8627450980392157,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,722,1224.8562460008543,0.005267998858471401,1,0,0,0,234,0.0
q03,naive,completed,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,672,491.6619960004027,0.004026998794870451,1,0,0,0,244,0.0
q04,naive,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,False,1.0,5,1,932,5756.544841000505,0.005670999598805793,1,0,0,0,210,0.0
q05,naive,completed,1.0,1.0,0.95,0.925,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,824,2850.778238998828,0.004159999662078917,1,0,0,0,238,0.0
q06,naive,completed,1.0,1.0,1.0,0.9615384615384616,0.0,0.0,0.0,1.0,1.0,0.5,0.8333333333333334,0.5,True,True,True,0.0,0.0,True,1.0,5,1,848,3291.2574599995423,0.004143999831285328,1,0,0,0,241,0.0
q07,naive,completed,0.5,1.0,0.20408163265306123,0.9591836734693877,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,True,True,0.0,0.0,True,1.0,5,1,743,1320.3009429998929,0.004550000085146166,1,0,0,0,261,0.0
q08,naive,completed,1.0,1.0,0.8333333333333334,0.8333333333333334,0.5,0.5,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,953,5970.374706999792,0.004071000148542225,1,0,0,0,224,0.0
q09,naive,completed,1.0,1.0,1.0,1.0,0.2,0.2,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,1080,9136.775622000641,0.006870999641250819,1,0,0,0,211,0.0
q10,naive,completed,1.0,1.0,0.7916666666666666,0.7916666666666666,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,1182,10553.25226000059,0.004978999641025439,1,0,0,0,245,0.0
q11,naive,completed,1.0,1.0,0.7254901960784313,0.7254901960784313,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,True,False,False,1.0,1.0,False,1.0,5,1,669,723.3627269997669,0.0038910002331249416,1,0,0,0,231,0.0
q12,naive,completed,1.0,1.0,0.8888888888888888,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,719,1508.4006209999643,0.004137000360060483,1,0,0,0,233,0.0
q13,naive,completed,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,1087,9694.047683000463,0.004285000613890588,1,0,0,0,251,0.0
q14,naive,completed,1.0,1.0,0.546875,0.546875,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,True,False,False,1.0,1.0,False,1.0,5,1,669,960.3612009996141,0.0046889999794075266,1,0,0,0,226,0.0
q15,naive,completed,1.0,1.0,0.15384615384615385,0.15384615384615385,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,True,False,False,1.0,1.0,False,1.0,5,1,679,586.7969000009907,0.003994999133283272,1,0,0,0,240,0.0
q16,naive,completed,0.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,705,1322.3937139991904,0.003897999704349786,1,0,0,0,230,0.0
q17,naive,completed,0.6666666666666666,1.0,0.5862068965517241,0.9655172413793104,0.6,0.6,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,751,1627.6343170011387,0.005579000571742654,1,0,0,0,244,0.0
q18,naive,completed,1.0,1.0,0.9230769230769231,0.9743589743589743,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,700,1214.6395239997219,0.005616999260382727,1,0,0,0,240,0.0
q19,naive,completed,1.0,1.0,0.851063829787234,0.8723404255319149,0.75,0.75,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,806,2940.7865190005396,0.005601001248578541,1,0,0,0,243,0.0
q20,naive,completed,0.0,1.0,0.0,0.896551724137931,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,862,5145.854805001363,0.004337000063969754,1,0,0,0,226,0.0
q21,naive,completed,1.0,1.0,0.9629629629629629,0.9629629629629629,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,1092,9994.707070000004,0.004165998689131811,1,0,0,0,255,0.0
q22,naive,completed,1.0,1.0,0.8529411764705882,0.9117647058823529,0.16666666666666666,0.16666666666666666,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,1196,13785.209858999224,0.00522299887961708,1,0,0,0,273,0.0
q23,naive,completed,1.0,1.0,0.68,0.68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,False,1.0,1.0,False,1.0,5,1,953,7331.464324999615,0.005580001015914604,1,0,0,0,239,0.0
q24,naive,completed,1.0,1.0,0.775,0.775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,False,1.0,1.0,False,1.0,5,1,1054,8827.56805900135,0.005435000275610946,1,0,0,0,215,0.0
q25,naive,completed,0.3333333333333333,1.0,0.13333333333333333,0.9333333333333333,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,784,3049.5368350002536,0.00604900014877785,1,0,0,0,211,0.0
q26,naive,completed,0.3333333333333333,0.3333333333333333,0.37142857142857144,0.37142857142857144,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,True,False,False,1.0,1.0,False,1.0,5,1,747,1866.2093479997566,0.005104999218019657,1,0,0,0,223,0.0
q27,naive,completed,0.3333333333333333,1.0,0.075,0.75,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,775,1385.1966080001148,0.005567000698647462,1,0,0,0,266,0.0
q28,naive,completed,1.0,1.0,0.9090909090909091,0.9090909090909091,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,789,1877.181567999287,0.004529998477664776,1,0,0,0,241,0.0
q29,naive,completed,1.0,1.0,0.9523809523809523,0.9523809523809523,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,1279,11264.813282999967,0.004585999704431742,1,0,0,0,254,0.0
q30,naive,completed,0.6666666666666666,0.6666666666666666,0.6571428571428571,0.6571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,True,False,False,1.0,1.0,False,1.0,5,1,888,3696.5444710003794,0.005034000423620455,1,0,0,0,278,0.0
q31,naive,completed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,False,1.0,1.0,False,1.0,5,1,1024,7874.6598760008055,0.004319999789004214,1,0,0,0,242,0.0
q32,naive,completed,1.0,1.0,0.6842105263157895,0.7368421052631579,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,810,3856.597939000494,0.005370999133447185,1,0,0,0,241,0.0
q33,naive,completed,1.0,1.0,0.9655172413793104,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,0.0,0.0,False,1.0,5,1,1020,8400.299364999228,0.0053130006563151255,1,0,0,0,253,0.0
q34,naive,completed,1.0,1.0,0.64,0.64,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,991,6583.028660001219,0.005542000508285128,1,0,0,0,263,0.0
q35,naive,completed,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,1008,7794.92646899962,0.004083000021637417,1,0,0,0,221,0.0
q36,naive,completed,0.0,1.0,0.0,0.9642857142857143,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,791,1907.429778999358,0.003980001565651037,1,0,0,0,267,0.0
q37,naive,completed,1.0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,989,6620.862409999972,0.005806999979540706,1,0,0,0,262,0.0
q38,naive,completed,1.0,1.0,0.5277777777777778,0.5277777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,False,1.0,1.0,False,1.0,5,1,876,4989.015559998734,0.003983001079177484,1,0,0,0,255,0.0
q39,naive,completed,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,1201,10783.551825999893,0.004883000656263903,1,0,0,0,279,0.0
q40,naive,completed,0.0,0.0,0.08823529411764706,0.08823529411764706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,False,1.0,1.0,False,1.0,5,1,715,1401.0641829991073,0.005478999810293317,1,0,0,0,236,0.0
q41,naive,completed,1.0,1.0,0.5952380952380952,0.5952380952380952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,False,1.0,1.0,False,1.0,5,1,978,6774.341067999558,0.00400200042349752,1,0,0,0,269,0.0
q42,naive,completed,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,False,1.0,1.0,True,1.0,5,1,779,1425.0904399996216,0.004728000931208953,1,0,0,0,273,0.0
q43,naive,completed,0.0,0.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,True,False,False,1.0,1.0,False,1.0,5,1,820,3294.12300399963,0.005190999218029901,1,0,0,0,247,0.0
